Polar_angle_rad,Radius_A
0.0079610753521012,390.2640840011364
0.023667698195057808,388.4863294226785
0.039374321038014415,388.91593344423285
0.05508094388097101,391.0861324492522
0.07078756672392761,389.8968400600931
0.08649418956688422,388.2867863579121
0.10220081240984083,385.66539078100413
0.11790743525279743,383.3001541682207
0.13361405809575402,380.8518903070872
0.14932068093871062,378.70680621604515
0.16502730378166725,376.10809803233695
0.18073392662462384,373.7133974532175
0.19644054946758044,371.3142947090728
0.21214717231053706,369.450027255827
0.22785379515349366,367.2392391210406
0.24356041799645026,365.2192507836635
0.2592670408394068,363.9268051999333
0.2749736636823634,362.7925425147755
0.29068028652532,361.8158966877187
0.3063869093682766,361.011003910549
0.32209353221123327,360.2483570260982
0.33780015505418987,359.59556874123854
0.35350677789714646,359.04024271362965
0.36921340074010306,358.4887732013206
0.38492002358305966,358.04262909640295
0.40062664642601625,357.6852518256802
0.41633326926897285,357.3191188727202
0.4320398921119295,356.96553159689506
0.4477465149548861,356.69350155436683
0.4634531377978427,356.450485875453
0.4791597606407993,356.2514427930869
0.49486638348375594,356.09171208793003
0.5105730063267127,355.97472491496836
0.5262796291696692,355.8740283859688
0.5419862520126258,355.8005464382583
0.5576928748555824,355.7848057381089
0.573399497698539,355.69010171216036
0.5891061205414956,355.6517016152444
0.6048127433844522,355.6255207918451
0.6205193662274088,355.6133567295825
0.6362259890703654,355.598106284268
0.6519326119133221,355.60287999433297
0.6676392347562786,355.6446973834294
0.6833458575992353,355.6615175270498
0.6990524804421918,355.69864424759095
0.7147591032851485,355.754117354714
0.730465726128105,355.79231597039814
0.7461723489710617,355.82489357936356
0.7618789718140183,355.8929028099991
0.7775855946569749,355.9475982286327
0.7932922174999315,356.05572423829835
0.808998840342888,356.10021793013345
0.8247054631858447,356.19936038372003
0.8404120860288012,356.30190092045484
0.8561187088717579,356.38720158630554
0.8718253317147145,356.4701089211397
0.8875319545576711,356.5634508508446
0.9032385774006277,356.6735639986887
0.9189452002435843,356.77864956362845
0.9346518230865409,356.88844059006647
0.9503584459294975,356.98340914650987
